data,valor
1996-01-01,99.4
1996-04-01,100.66
1996-07-01,104.15
1996-10-01,103.38
1997-01-01,104.42
1997-04-01,105.0
1997-07-01,106.13
1997-10-01,107.22
1998-01-01,105.1
1998-04-01,106.81
1998-07-01,106.72
1998-10-01,105.65
1999-01-01,105.82
1999-04-01,106.26
1999-07-01,106.37
1999-10-01,107.83
2000-01-01,109.0
2000-04-01,110.45
2000-07-01,111.97
2000-10-01,113.24
2001-01-01,113.5
2001-04-01,113.09
2001-07-01,112.59
2001-10-01,112.06
2002-01-01,114.91
2002-04-01,115.32
2002-07-01,116.76
2002-10-01,117.91
2003-01-01,117.52
2003-04-01,116.54
2003-07-01,117.52
2003-10-01,118.74
2004-01-01,120.5
2004-04-01,123.75
2004-07-01,125.29
2004-10-01,126.31
2005-01-01,127.37
2005-04-01,128.77
2005-07-01,128.01
2005-10-01,129.77
2006-01-01,131.61
2006-04-01,132.17
2006-07-01,134.38
2006-10-01,136.04
2007-01-01,138.4
2007-04-01,140.83
2007-07-01,142.28
2007-10-01,144.36
2008-01-01,146.28
2008-04-01,149.28
2008-07-01,151.52
2008-10-01,145.87
2009-01-01,143.92
2009-04-01,146.46
2009-07-01,149.91
2009-10-01,153.67
2010-01-01,156.98
2010-04-01,158.94
2010-07-01,160.35
2010-10-01,162.55
2011-01-01,164.92
2011-04-01,166.39
2011-07-01,166.11
2011-10-01,167.66
2012-01-01,165.34
2012-04-01,168.17
2012-07-01,171.09
2012-10-01,171.21
2013-01-01,172.04
2013-04-01,174.52
2013-07-01,175.25
2013-10-01,175.57
2014-01-01,176.88
2014-04-01,174.56
2014-07-01,174.39
2014-10-01,175.15
2015-01-01,173.73
2015-04-01,169.78
2015-07-01,167.13
2015-10-01,165.51
2016-01-01,163.25
2016-04-01,163.74
2016-07-01,162.91
2016-10-01,162.76
2017-01-01,164.34
2017-04-01,165.63
2017-07-01,166.16
2017-10-01,167.15
2018-01-01,167.93
2018-04-01,167.9
2018-07-01,169.4
2018-10-01,169.07
2019-01-01,169.54
2019-04-01,170.56
2019-07-01,170.49
2019-10-01,171.9
2020-01-01,168.1
2020-04-01,153.26
2020-07-01,165.33
2020-10-01,171.46
2021-01-01,173.15
2021-04-01,172.05
2021-07-01,172.24
2021-10-01,174.3
2022-01-01,175.79
2022-04-01,177.78
2022-07-01,179.45
2022-10-01,180.39
2023-01-01,182.85
2023-04-01,184.19
2023-07-01,184.35
2023-10-01,185.08
2024-01-01,186.91
2024-04-01,189.37
2024-07-01,190.78
2024-10-01,191.11
