2025-09-22 09:52:09,499 - INFO - Logger started. File path: ../logs/Filtering_20250922_095209.log
2025-09-22 09:52:12,585 - INFO - Loaded IBGE Metadata from file: ../data/metadata/ibge_series.json
2025-09-22 09:52:12,650 - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2025-09-22 09:52:12,651 - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2025-09-22 09:52:12,655 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 3.335
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 3.05
2025-09-22 09:52:12,655 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 2.335
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-22 09:52:12,656 - DEBUG - findfont: score(FontEntry(fname='c:\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
