NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,0.59,306,IPCA dessazonalizado - Variação mensal,199801,janeiro 1998,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,199802,fevereiro 1998,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,199803,março 1998,1,Brasil
1,Brasil,2,%,0.17,306,IPCA dessazonalizado - Variação mensal,199804,abril 1998,1,Brasil
1,Brasil,2,%,0.48,306,IPCA dessazonalizado - Variação mensal,199805,maio 1998,1,Brasil
1,Brasil,2,%,0.04,306,IPCA dessazonalizado - Variação mensal,199806,junho 1998,1,Brasil
1,Brasil,2,%,-0.04,306,IPCA dessazonalizado - Variação mensal,199807,julho 1998,1,Brasil
1,Brasil,2,%,-0.38,306,IPCA dessazonalizado - Variação mensal,199808,agosto 1998,1,Brasil
1,Brasil,2,%,-0.16,306,IPCA dessazonalizado - Variação mensal,199809,setembro 1998,1,Brasil
1,Brasil,2,%,0.05,306,IPCA dessazonalizado - Variação mensal,199810,outubro 1998,1,Brasil
1,Brasil,2,%,-0.10,306,IPCA dessazonalizado - Variação mensal,199811,novembro 1998,1,Brasil
1,Brasil,2,%,0.33,306,IPCA dessazonalizado - Variação mensal,199812,dezembro 1998,1,Brasil
1,Brasil,2,%,0.58,306,IPCA dessazonalizado - Variação mensal,199901,janeiro 1999,1,Brasil
1,Brasil,2,%,1.03,306,IPCA dessazonalizado - Variação mensal,199902,fevereiro 1999,1,Brasil
1,Brasil,2,%,1.05,306,IPCA dessazonalizado - Variação mensal,199903,março 1999,1,Brasil
1,Brasil,2,%,0.51,306,IPCA dessazonalizado - Variação mensal,199904,abril 1999,1,Brasil
1,Brasil,2,%,0.30,306,IPCA dessazonalizado - Variação mensal,199905,maio 1999,1,Brasil
1,Brasil,2,%,0.22,306,IPCA dessazonalizado - Variação mensal,199906,junho 1999,1,Brasil
1,Brasil,2,%,1.18,306,IPCA dessazonalizado - Variação mensal,199907,julho 1999,1,Brasil
1,Brasil,2,%,0.65,306,IPCA dessazonalizado - Variação mensal,199908,agosto 1999,1,Brasil
1,Brasil,2,%,0.36,306,IPCA dessazonalizado - Variação mensal,199909,setembro 1999,1,Brasil
1,Brasil,2,%,1.21,306,IPCA dessazonalizado - Variação mensal,199910,outubro 1999,1,Brasil
1,Brasil,2,%,0.96,306,IPCA dessazonalizado - Variação mensal,199911,novembro 1999,1,Brasil
1,Brasil,2,%,0.58,306,IPCA dessazonalizado - Variação mensal,199912,dezembro 1999,1,Brasil
1,Brasil,2,%,0.53,306,IPCA dessazonalizado - Variação mensal,200001,janeiro 2000,1,Brasil
1,Brasil,2,%,0.11,306,IPCA dessazonalizado - Variação mensal,200002,fevereiro 2000,1,Brasil
1,Brasil,2,%,0.19,306,IPCA dessazonalizado - Variação mensal,200003,março 2000,1,Brasil
1,Brasil,2,%,0.40,306,IPCA dessazonalizado - Variação mensal,200004,abril 2000,1,Brasil
1,Brasil,2,%,0.06,306,IPCA dessazonalizado - Variação mensal,200005,maio 2000,1,Brasil
1,Brasil,2,%,0.31,306,IPCA dessazonalizado - Variação mensal,200006,junho 2000,1,Brasil
1,Brasil,2,%,1.68,306,IPCA dessazonalizado - Variação mensal,200007,julho 2000,1,Brasil
1,Brasil,2,%,1.36,306,IPCA dessazonalizado - Variação mensal,200008,agosto 2000,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,200009,setembro 2000,1,Brasil
1,Brasil,2,%,0.16,306,IPCA dessazonalizado - Variação mensal,200010,outubro 2000,1,Brasil
1,Brasil,2,%,0.33,306,IPCA dessazonalizado - Variação mensal,200011,novembro 2000,1,Brasil
1,Brasil,2,%,0.56,306,IPCA dessazonalizado - Variação mensal,200012,dezembro 2000,1,Brasil
1,Brasil,2,%,0.48,306,IPCA dessazonalizado - Variação mensal,200101,janeiro 2001,1,Brasil
1,Brasil,2,%,0.43,306,IPCA dessazonalizado - Variação mensal,200102,fevereiro 2001,1,Brasil
1,Brasil,2,%,0.35,306,IPCA dessazonalizado - Variação mensal,200103,março 2001,1,Brasil
1,Brasil,2,%,0.56,306,IPCA dessazonalizado - Variação mensal,200104,abril 2001,1,Brasil
1,Brasil,2,%,0.44,306,IPCA dessazonalizado - Variação mensal,200105,maio 2001,1,Brasil
1,Brasil,2,%,0.59,306,IPCA dessazonalizado - Variação mensal,200106,junho 2001,1,Brasil
1,Brasil,2,%,1.39,306,IPCA dessazonalizado - Variação mensal,200107,julho 2001,1,Brasil
1,Brasil,2,%,0.74,306,IPCA dessazonalizado - Variação mensal,200108,agosto 2001,1,Brasil
1,Brasil,2,%,0.29,306,IPCA dessazonalizado - Variação mensal,200109,setembro 2001,1,Brasil
1,Brasil,2,%,0.82,306,IPCA dessazonalizado - Variação mensal,200110,outubro 2001,1,Brasil
1,Brasil,2,%,0.70,306,IPCA dessazonalizado - Variação mensal,200111,novembro 2001,1,Brasil
1,Brasil,2,%,0.65,306,IPCA dessazonalizado - Variação mensal,200112,dezembro 2001,1,Brasil
1,Brasil,2,%,0.45,306,IPCA dessazonalizado - Variação mensal,200201,janeiro 2002,1,Brasil
1,Brasil,2,%,0.35,306,IPCA dessazonalizado - Variação mensal,200202,fevereiro 2002,1,Brasil
1,Brasil,2,%,0.60,306,IPCA dessazonalizado - Variação mensal,200203,março 2002,1,Brasil
1,Brasil,2,%,0.76,306,IPCA dessazonalizado - Variação mensal,200204,abril 2002,1,Brasil
1,Brasil,2,%,0.25,306,IPCA dessazonalizado - Variação mensal,200205,maio 2002,1,Brasil
1,Brasil,2,%,0.47,306,IPCA dessazonalizado - Variação mensal,200206,junho 2002,1,Brasil
1,Brasil,2,%,1.24,306,IPCA dessazonalizado - Variação mensal,200207,julho 2002,1,Brasil
1,Brasil,2,%,0.66,306,IPCA dessazonalizado - Variação mensal,200208,agosto 2002,1,Brasil
1,Brasil,2,%,0.74,306,IPCA dessazonalizado - Variação mensal,200209,setembro 2002,1,Brasil
1,Brasil,2,%,1.28,306,IPCA dessazonalizado - Variação mensal,200210,outubro 2002,1,Brasil
1,Brasil,2,%,3.02,306,IPCA dessazonalizado - Variação mensal,200211,novembro 2002,1,Brasil
1,Brasil,2,%,2.11,306,IPCA dessazonalizado - Variação mensal,200212,dezembro 2002,1,Brasil
1,Brasil,2,%,2.20,306,IPCA dessazonalizado - Variação mensal,200301,janeiro 2003,1,Brasil
1,Brasil,2,%,1.55,306,IPCA dessazonalizado - Variação mensal,200302,fevereiro 2003,1,Brasil
1,Brasil,2,%,1.22,306,IPCA dessazonalizado - Variação mensal,200303,março 2003,1,Brasil
1,Brasil,2,%,0.94,306,IPCA dessazonalizado - Variação mensal,200304,abril 2003,1,Brasil
1,Brasil,2,%,0.65,306,IPCA dessazonalizado - Variação mensal,200305,maio 2003,1,Brasil
1,Brasil,2,%,-0.09,306,IPCA dessazonalizado - Variação mensal,200306,junho 2003,1,Brasil
1,Brasil,2,%,0.25,306,IPCA dessazonalizado - Variação mensal,200307,julho 2003,1,Brasil
1,Brasil,2,%,0.34,306,IPCA dessazonalizado - Variação mensal,200308,agosto 2003,1,Brasil
1,Brasil,2,%,0.79,306,IPCA dessazonalizado - Variação mensal,200309,setembro 2003,1,Brasil
1,Brasil,2,%,0.28,306,IPCA dessazonalizado - Variação mensal,200310,outubro 2003,1,Brasil
1,Brasil,2,%,0.30,306,IPCA dessazonalizado - Variação mensal,200311,novembro 2003,1,Brasil
1,Brasil,2,%,0.50,306,IPCA dessazonalizado - Variação mensal,200312,dezembro 2003,1,Brasil
